height,event,inputs,custody,withdrawal_paid,reward_paid,withdrawal_claims,reward_claims,alice_cash,bob_cash,alice_quantity,bob_quantity,alice_pnl,bob_pnl,U,T,F,S,I,Z,W,R
14,withdrawal_reserved,225000000000000000000,225000000000000000000,0,0,0,0,99949000000000000000,89967000000000000000,0,0,0,0,0,189916000000000000000,84000000000000000,20000000000000000000,5000000000000000000,0,10000000000000000000,0
14,height_boundary,225000000000000000000,225000000000000000000,0,0,0,0,99949000000000000000,89967000000000000000,0,0,0,0,0,189916000000000000000,84000000000000000,20000000000000000000,5000000000000000000,0,10000000000000000000,0
15,height_boundary,225000000000000000000,225000000000000000000,0,0,0,0,99949000000000000000,89967000000000000000,0,0,0,0,0,189916000000000000000,84000000000000000,20000000000000000000,5000000000000000000,0,10000000000000000000,0
16,height_boundary,225000000000000000000,225000000000000000000,0,0,0,0,99949000000000000000,89967000000000000000,0,0,0,0,0,189916000000000000000,84000000000000000,20000000000000000000,5000000000000000000,0,10000000000000000000,0
17,height_boundary,225000000000000000000,225000000000000000000,0,0,0,0,99949000000000000000,89967000000000000000,0,0,0,0,0,189916000000000000000,84000000000000000,20000000000000000000,5000000000000000000,0,10000000000000000000,0
18,reward_reserved,225000000000000000000,225000000000000000000,0,0,0,0,99949000000000000000,89967000000000000000,0,0,0,0,0,189916000000000000000,64000000000000000,19020000000000000000,5000000000000000000,0,10000000000000000000,1000000000000000000
18,native_reward_claims_assumed,225000000000000000000,224000000000000000000,0,1000000000000000000,0,6,99949000000000000000,89967000000000000000,0,0,0,0,0,189916000000000000000,64000000000000000,19020000000000000000,5000000000000000000,0,10000000000000000000,0
18,height_boundary,225000000000000000000,224000000000000000000,0,1000000000000000000,0,6,99949000000000000000,89967000000000000000,0,0,0,0,0,189916000000000000000,64000000000000000,19020000000000000000,5000000000000000000,0,10000000000000000000,0
19,height_boundary,225000000000000000000,224000000000000000000,0,1000000000000000000,0,6,99949000000000000000,89967000000000000000,0,0,0,0,0,189916000000000000000,64000000000000000,19020000000000000000,5000000000000000000,0,10000000000000000000,0
20,height_boundary,225000000000000000000,224000000000000000000,0,1000000000000000000,0,6,99949000000000000000,89967000000000000000,0,0,0,0,0,189916000000000000000,64000000000000000,19020000000000000000,5000000000000000000,0,10000000000000000000,0
21,two_native_deposits_assumed,265000000000000000000,264000000000000000000,0,1000000000000000000,0,6,119949000000000000000,109967000000000000000,0,0,0,0,0,229916000000000000000,64000000000000000,19020000000000000000,5000000000000000000,0,10000000000000000000,0
21,height_boundary,265000000000000000000,264000000000000000000,0,1000000000000000000,0,6,119949000000000000000,109967000000000000000,0,0,0,0,0,229916000000000000000,64000000000000000,19020000000000000000,5000000000000000000,0,10000000000000000000,0
22,height_boundary,265000000000000000000,264000000000000000000,0,1000000000000000000,0,6,119949000000000000000,109967000000000000000,0,0,0,0,0,229916000000000000000,64000000000000000,19020000000000000000,5000000000000000000,0,10000000000000000000,0
23,height_boundary,265000000000000000000,264000000000000000000,0,1000000000000000000,0,6,119949000000000000000,109967000000000000000,0,0,0,0,0,229916000000000000000,64000000000000000,19020000000000000000,5000000000000000000,0,10000000000000000000,0
24,height_boundary,265000000000000000000,264000000000000000000,0,1000000000000000000,0,6,119949000000000000000,109967000000000000000,0,0,0,0,0,229916000000000000000,64000000000000000,19020000000000000000,5000000000000000000,0,10000000000000000000,0
25,height_boundary,265000000000000000000,264000000000000000000,0,1000000000000000000,0,6,119949000000000000000,109967000000000000000,0,0,0,0,0,229916000000000000000,64000000000000000,19020000000000000000,5000000000000000000,0,10000000000000000000,0
26,height_boundary,265000000000000000000,264000000000000000000,0,1000000000000000000,0,6,119949000000000000000,109967000000000000000,0,0,0,0,0,229916000000000000000,64000000000000000,19020000000000000000,5000000000000000000,0,10000000000000000000,0
27,oracle,265000000000000000000,264000000000000000000,0,1000000000000000000,0,6,119949000000000000000,109967000000000000000,0,0,0,0,0,229916000000000000000,64000000000000000,19020000000000000000,5000000000000000000,0,10000000000000000000,0
27,height_boundary,265000000000000000000,264000000000000000000,0,1000000000000000000,0,6,119949000000000000000,109967000000000000000,0,0,0,0,0,229916000000000000000,64000000000000000,19020000000000000000,5000000000000000000,0,10000000000000000000,0
28,height_boundary,265000000000000000000,264000000000000000000,0,1000000000000000000,0,6,119949000000000000000,109967000000000000000,0,0,0,0,0,229916000000000000000,64000000000000000,19020000000000000000,5000000000000000000,0,10000000000000000000,0
29,open_fill,265000000000000000000,264000000000000000000,0,1000000000000000000,0,6,119919000000000000000,109957000000000000000,100000000,-100000000,0,0,0,229876000000000000000,104000000000000000,19020000000000000000,5000000000000000000,0,10000000000000000000,0
29,height_boundary,265000000000000000000,264000000000000000000,0,1000000000000000000,0,6,119919000000000000000,109957000000000000000,100000000,-100000000,0,0,0,229876000000000000000,104000000000000000,19020000000000000000,5000000000000000000,0,10000000000000000000,0
30,funding,265000000000000000000,264000000000000000000,0,1000000000000000000,0,6,119909000000000000000,109967000000000000000,100000000,-100000000,0,0,0,229876000000000000000,104000000000000000,19020000000000000000,5000000000000000000,0,10000000000000000000,0
30,height_boundary,265000000000000000000,264000000000000000000,0,1000000000000000000,0,6,119909000000000000000,109967000000000000000,100000000,-100000000,0,0,0,229876000000000000000,104000000000000000,19020000000000000000,5000000000000000000,0,10000000000000000000,0
31,oracle,265000000000000000000,264000000000000000000,0,1000000000000000000,0,6,119909000000000000000,109967000000000000000,100000000,-100000000,10000000000000000000,-10000000000000000000,0,229876000000000000000,104000000000000000,19020000000000000000,5000000000000000000,0,10000000000000000000,0
31,height_boundary,265000000000000000000,264000000000000000000,0,1000000000000000000,0,6,119909000000000000000,109967000000000000000,100000000,-100000000,10000000000000000000,-10000000000000000000,0,229876000000000000000,104000000000000000,19020000000000000000,5000000000000000000,0,10000000000000000000,0
32,height_boundary,265000000000000000000,264000000000000000000,0,1000000000000000000,0,6,119909000000000000000,109967000000000000000,100000000,-100000000,10000000000000000000,-10000000000000000000,0,229876000000000000000,104000000000000000,19020000000000000000,5000000000000000000,0,10000000000000000000,0
33,close_fill,265000000000000000000,264000000000000000000,0,1000000000000000000,0,6,129898000000000000000,99934000000000000000,0,0,0,0,0,229832000000000000000,148000000000000000,19020000000000000000,5000000000000000000,0,10000000000000000000,0
33,height_boundary,265000000000000000000,264000000000000000000,0,1000000000000000000,0,6,129898000000000000000,99934000000000000000,0,0,0,0,0,229832000000000000000,148000000000000000,19020000000000000000,5000000000000000000,0,10000000000000000000,0
34,reward_reserved,265000000000000000000,264000000000000000000,0,1000000000000000000,0,6,129898000000000000000,99934000000000000000,0,0,0,0,0,229832000000000000000,126000000000000000,18042000000000000000,5000000000000000000,0,10000000000000000000,1000000000000000000
34,native_reward_claims_assumed,265000000000000000000,263000000000000000000,0,2000000000000000000,0,12,129898000000000000000,99934000000000000000,0,0,0,0,0,229832000000000000000,126000000000000000,18042000000000000000,5000000000000000000,0,10000000000000000000,0
34,height_boundary,265000000000000000000,263000000000000000000,0,2000000000000000000,0,12,129898000000000000000,99934000000000000000,0,0,0,0,0,229832000000000000000,126000000000000000,18042000000000000000,5000000000000000000,0,10000000000000000000,0
35,height_boundary,265000000000000000000,263000000000000000000,0,2000000000000000000,0,12,129898000000000000000,99934000000000000000,0,0,0,0,0,229832000000000000000,126000000000000000,18042000000000000000,5000000000000000000,0,10000000000000000000,0
36,height_boundary,265000000000000000000,263000000000000000000,0,2000000000000000000,0,12,129898000000000000000,99934000000000000000,0,0,0,0,0,229832000000000000000,126000000000000000,18042000000000000000,5000000000000000000,0,10000000000000000000,0
37,withdrawal_reserved,265000000000000000000,263000000000000000000,0,2000000000000000000,0,12,119898000000000000000,99934000000000000000,0,0,0,0,0,219832000000000000000,126000000000000000,18042000000000000000,5000000000000000000,0,20000000000000000000,0
37,native_withdrawal_assumed,265000000000000000000,253000000000000000000,10000000000000000000,2000000000000000000,1,12,119898000000000000000,99934000000000000000,0,0,0,0,0,219832000000000000000,126000000000000000,18042000000000000000,5000000000000000000,0,10000000000000000000,0
37,height_boundary,265000000000000000000,253000000000000000000,10000000000000000000,2000000000000000000,1,12,119898000000000000000,99934000000000000000,0,0,0,0,0,219832000000000000000,126000000000000000,18042000000000000000,5000000000000000000,0,10000000000000000000,0
38,reward_reserved,265000000000000000000,253000000000000000000,10000000000000000000,2000000000000000000,1,12,119898000000000000000,99934000000000000000,0,0,0,0,0,219832000000000000000,106000000000000000,17062000000000000000,5000000000000000000,0,10000000000000000000,1000000000000000000
38,native_reward_claims_assumed,265000000000000000000,252000000000000000000,10000000000000000000,3000000000000000000,1,19,119898000000000000000,99934000000000000000,0,0,0,0,0,219832000000000000000,106000000000000000,17062000000000000000,5000000000000000000,0,10000000000000000000,0
38,height_boundary,265000000000000000000,252000000000000000000,10000000000000000000,3000000000000000000,1,19,119898000000000000000,99934000000000000000,0,0,0,0,0,219832000000000000000,106000000000000000,17062000000000000000,5000000000000000000,0,10000000000000000000,0
39,height_boundary,265000000000000000000,252000000000000000000,10000000000000000000,3000000000000000000,1,19,119898000000000000000,99934000000000000000,0,0,0,0,0,219832000000000000000,106000000000000000,17062000000000000000,5000000000000000000,0,10000000000000000000,0
40,height_boundary,265000000000000000000,252000000000000000000,10000000000000000000,3000000000000000000,1,19,119898000000000000000,99934000000000000000,0,0,0,0,0,219832000000000000000,106000000000000000,17062000000000000000,5000000000000000000,0,10000000000000000000,0
41,two_native_deposits_assumed,305000000000000000000,292000000000000000000,10000000000000000000,3000000000000000000,1,19,139898000000000000000,119934000000000000000,0,0,0,0,0,259832000000000000000,106000000000000000,17062000000000000000,5000000000000000000,0,10000000000000000000,0
41,height_boundary,305000000000000000000,292000000000000000000,10000000000000000000,3000000000000000000,1,19,139898000000000000000,119934000000000000000,0,0,0,0,0,259832000000000000000,106000000000000000,17062000000000000000,5000000000000000000,0,10000000000000000000,0
42,height_boundary,305000000000000000000,292000000000000000000,10000000000000000000,3000000000000000000,1,19,139898000000000000000,119934000000000000000,0,0,0,0,0,259832000000000000000,106000000000000000,17062000000000000000,5000000000000000000,0,10000000000000000000,0
43,height_boundary,305000000000000000000,292000000000000000000,10000000000000000000,3000000000000000000,1,19,139898000000000000000,119934000000000000000,0,0,0,0,0,259832000000000000000,106000000000000000,17062000000000000000,5000000000000000000,0,10000000000000000000,0
44,height_boundary,305000000000000000000,292000000000000000000,10000000000000000000,3000000000000000000,1,19,139898000000000000000,119934000000000000000,0,0,0,0,0,259832000000000000000,106000000000000000,17062000000000000000,5000000000000000000,0,10000000000000000000,0
45,height_boundary,305000000000000000000,292000000000000000000,10000000000000000000,3000000000000000000,1,19,139898000000000000000,119934000000000000000,0,0,0,0,0,259832000000000000000,106000000000000000,17062000000000000000,5000000000000000000,0,10000000000000000000,0
46,height_boundary,305000000000000000000,292000000000000000000,10000000000000000000,3000000000000000000,1,19,139898000000000000000,119934000000000000000,0,0,0,0,0,259832000000000000000,106000000000000000,17062000000000000000,5000000000000000000,0,10000000000000000000,0
47,height_boundary,305000000000000000000,292000000000000000000,10000000000000000000,3000000000000000000,1,19,139898000000000000000,119934000000000000000,0,0,0,0,0,259832000000000000000,106000000000000000,17062000000000000000,5000000000000000000,0,10000000000000000000,0
48,height_boundary,305000000000000000000,292000000000000000000,10000000000000000000,3000000000000000000,1,19,139898000000000000000,119934000000000000000,0,0,0,0,0,259832000000000000000,106000000000000000,17062000000000000000,5000000000000000000,0,10000000000000000000,0
49,height_boundary,305000000000000000000,292000000000000000000,10000000000000000000,3000000000000000000,1,19,139898000000000000000,119934000000000000000,0,0,0,0,0,259832000000000000000,106000000000000000,17062000000000000000,5000000000000000000,0,10000000000000000000,0
50,height_boundary,305000000000000000000,292000000000000000000,10000000000000000000,3000000000000000000,1,19,139898000000000000000,119934000000000000000,0,0,0,0,0,259832000000000000000,106000000000000000,17062000000000000000,5000000000000000000,0,10000000000000000000,0
51,height_boundary,305000000000000000000,292000000000000000000,10000000000000000000,3000000000000000000,1,19,139898000000000000000,119934000000000000000,0,0,0,0,0,259832000000000000000,106000000000000000,17062000000000000000,5000000000000000000,0,10000000000000000000,0
52,height_boundary,305000000000000000000,292000000000000000000,10000000000000000000,3000000000000000000,1,19,139898000000000000000,119934000000000000000,0,0,0,0,0,259832000000000000000,106000000000000000,17062000000000000000,5000000000000000000,0,10000000000000000000,0
53,height_boundary,305000000000000000000,292000000000000000000,10000000000000000000,3000000000000000000,1,19,139898000000000000000,119934000000000000000,0,0,0,0,0,259832000000000000000,106000000000000000,17062000000000000000,5000000000000000000,0,10000000000000000000,0
54,reward_reserved,305000000000000000000,292000000000000000000,10000000000000000000,3000000000000000000,1,19,139898000000000000000,119934000000000000000,0,0,0,0,0,259832000000000000000,84000000000000000,16084000000000000000,5000000000000000000,0,10000000000000000000,1000000000000000000
54,native_reward_claims_assumed,305000000000000000000,291000000000000000000,10000000000000000000,4000000000000000000,1,26,139898000000000000000,119934000000000000000,0,0,0,0,0,259832000000000000000,84000000000000000,16084000000000000000,5000000000000000000,0,10000000000000000000,0
54,height_boundary,305000000000000000000,291000000000000000000,10000000000000000000,4000000000000000000,1,26,139898000000000000000,119934000000000000000,0,0,0,0,0,259832000000000000000,84000000000000000,16084000000000000000,5000000000000000000,0,10000000000000000000,0
55,height_boundary,305000000000000000000,291000000000000000000,10000000000000000000,4000000000000000000,1,26,139898000000000000000,119934000000000000000,0,0,0,0,0,259832000000000000000,84000000000000000,16084000000000000000,5000000000000000000,0,10000000000000000000,0
56,height_boundary,305000000000000000000,291000000000000000000,10000000000000000000,4000000000000000000,1,26,139898000000000000000,119934000000000000000,0,0,0,0,0,259832000000000000000,84000000000000000,16084000000000000000,5000000000000000000,0,10000000000000000000,0
57,height_boundary,305000000000000000000,291000000000000000000,10000000000000000000,4000000000000000000,1,26,139898000000000000000,119934000000000000000,0,0,0,0,0,259832000000000000000,84000000000000000,16084000000000000000,5000000000000000000,0,10000000000000000000,0
58,reward_reserved,305000000000000000000,291000000000000000000,10000000000000000000,4000000000000000000,1,26,139898000000000000000,119934000000000000000,0,0,0,0,0,259832000000000000000,84000000000000000,15084000000000000000,5000000000000000000,0,10000000000000000000,1000000000000000000
58,native_reward_claims_assumed,305000000000000000000,290000000000000000000,10000000000000000000,5000000000000000000,1,33,139898000000000000000,119934000000000000000,0,0,0,0,0,259832000000000000000,84000000000000000,15084000000000000000,5000000000000000000,0,10000000000000000000,0
58,height_boundary,305000000000000000000,290000000000000000000,10000000000000000000,5000000000000000000,1,33,139898000000000000000,119934000000000000000,0,0,0,0,0,259832000000000000000,84000000000000000,15084000000000000000,5000000000000000000,0,10000000000000000000,0
59,flat_interval_oracle,305000000000000000000,290000000000000000000,10000000000000000000,5000000000000000000,1,33,139898000000000000000,119934000000000000000,0,0,0,0,0,259832000000000000000,84000000000000000,15084000000000000000,5000000000000000000,0,10000000000000000000,0
59,height_boundary,305000000000000000000,290000000000000000000,10000000000000000000,5000000000000000000,1,33,139898000000000000000,119934000000000000000,0,0,0,0,0,259832000000000000000,84000000000000000,15084000000000000000,5000000000000000000,0,10000000000000000000,0
60,height_boundary,305000000000000000000,290000000000000000000,10000000000000000000,5000000000000000000,1,33,139898000000000000000,119934000000000000000,0,0,0,0,0,259832000000000000000,84000000000000000,15084000000000000000,5000000000000000000,0,10000000000000000000,0
61,two_native_deposits_assumed,345000000000000000000,330000000000000000000,10000000000000000000,5000000000000000000,1,33,159898000000000000000,139934000000000000000,0,0,0,0,0,299832000000000000000,84000000000000000,15084000000000000000,5000000000000000000,0,10000000000000000000,0
61,height_boundary,345000000000000000000,330000000000000000000,10000000000000000000,5000000000000000000,1,33,159898000000000000000,139934000000000000000,0,0,0,0,0,299832000000000000000,84000000000000000,15084000000000000000,5000000000000000000,0,10000000000000000000,0
62,height_boundary,345000000000000000000,330000000000000000000,10000000000000000000,5000000000000000000,1,33,159898000000000000000,139934000000000000000,0,0,0,0,0,299832000000000000000,84000000000000000,15084000000000000000,5000000000000000000,0,10000000000000000000,0
63,height_boundary,345000000000000000000,330000000000000000000,10000000000000000000,5000000000000000000,1,33,159898000000000000000,139934000000000000000,0,0,0,0,0,299832000000000000000,84000000000000000,15084000000000000000,5000000000000000000,0,10000000000000000000,0
64,height_boundary,345000000000000000000,330000000000000000000,10000000000000000000,5000000000000000000,1,33,159898000000000000000,139934000000000000000,0,0,0,0,0,299832000000000000000,84000000000000000,15084000000000000000,5000000000000000000,0,10000000000000000000,0
65,height_boundary,345000000000000000000,330000000000000000000,10000000000000000000,5000000000000000000,1,33,159898000000000000000,139934000000000000000,0,0,0,0,0,299832000000000000000,84000000000000000,15084000000000000000,5000000000000000000,0,10000000000000000000,0
66,height_boundary,345000000000000000000,330000000000000000000,10000000000000000000,5000000000000000000,1,33,159898000000000000000,139934000000000000000,0,0,0,0,0,299832000000000000000,84000000000000000,15084000000000000000,5000000000000000000,0,10000000000000000000,0
67,oracle,345000000000000000000,330000000000000000000,10000000000000000000,5000000000000000000,1,33,159898000000000000000,139934000000000000000,0,0,0,0,0,299832000000000000000,84000000000000000,15084000000000000000,5000000000000000000,0,10000000000000000000,0
67,height_boundary,345000000000000000000,330000000000000000000,10000000000000000000,5000000000000000000,1,33,159898000000000000000,139934000000000000000,0,0,0,0,0,299832000000000000000,84000000000000000,15084000000000000000,5000000000000000000,0,10000000000000000000,0
68,height_boundary,345000000000000000000,330000000000000000000,10000000000000000000,5000000000000000000,1,33,159898000000000000000,139934000000000000000,0,0,0,0,0,299832000000000000000,84000000000000000,15084000000000000000,5000000000000000000,0,10000000000000000000,0
69,open_fill,345000000000000000000,330000000000000000000,10000000000000000000,5000000000000000000,1,33,159868000000000000000,139924000000000000000,100000000,-100000000,0,0,0,299792000000000000000,124000000000000000,15084000000000000000,5000000000000000000,0,10000000000000000000,0
69,height_boundary,345000000000000000000,330000000000000000000,10000000000000000000,5000000000000000000,1,33,159868000000000000000,139924000000000000000,100000000,-100000000,0,0,0,299792000000000000000,124000000000000000,15084000000000000000,5000000000000000000,0,10000000000000000000,0
70,funding,345000000000000000000,330000000000000000000,10000000000000000000,5000000000000000000,1,33,159858000000000000000,139934000000000000000,100000000,-100000000,0,0,0,299792000000000000000,124000000000000000,15084000000000000000,5000000000000000000,0,10000000000000000000,0
70,height_boundary,345000000000000000000,330000000000000000000,10000000000000000000,5000000000000000000,1,33,159858000000000000000,139934000000000000000,100000000,-100000000,0,0,0,299792000000000000000,124000000000000000,15084000000000000000,5000000000000000000,0,10000000000000000000,0
71,oracle,345000000000000000000,330000000000000000000,10000000000000000000,5000000000000000000,1,33,159858000000000000000,139934000000000000000,100000000,-100000000,10000000000000000000,-10000000000000000000,0,299792000000000000000,124000000000000000,15084000000000000000,5000000000000000000,0,10000000000000000000,0
71,height_boundary,345000000000000000000,330000000000000000000,10000000000000000000,5000000000000000000,1,33,159858000000000000000,139934000000000000000,100000000,-100000000,10000000000000000000,-10000000000000000000,0,299792000000000000000,124000000000000000,15084000000000000000,5000000000000000000,0,10000000000000000000,0
72,height_boundary,345000000000000000000,330000000000000000000,10000000000000000000,5000000000000000000,1,33,159858000000000000000,139934000000000000000,100000000,-100000000,10000000000000000000,-10000000000000000000,0,299792000000000000000,124000000000000000,15084000000000000000,5000000000000000000,0,10000000000000000000,0
73,close_fill,345000000000000000000,330000000000000000000,10000000000000000000,5000000000000000000,1,33,169847000000000000000,129901000000000000000,0,0,0,0,0,299748000000000000000,168000000000000000,15084000000000000000,5000000000000000000,0,10000000000000000000,0
73,height_boundary,345000000000000000000,330000000000000000000,10000000000000000000,5000000000000000000,1,33,169847000000000000000,129901000000000000000,0,0,0,0,0,299748000000000000000,168000000000000000,15084000000000000000,5000000000000000000,0,10000000000000000000,0
74,reward_reserved,345000000000000000000,330000000000000000000,10000000000000000000,5000000000000000000,1,33,169847000000000000000,129901000000000000000,0,0,0,0,0,299748000000000000000,168000000000000000,14084000000000000000,5000000000000000000,0,10000000000000000000,1000000000000000000
74,native_reward_claims_assumed,345000000000000000000,329000000000000000000,10000000000000000000,6000000000000000000,1,40,169847000000000000000,129901000000000000000,0,0,0,0,0,299748000000000000000,168000000000000000,14084000000000000000,5000000000000000000,0,10000000000000000000,0
74,height_boundary,345000000000000000000,329000000000000000000,10000000000000000000,6000000000000000000,1,40,169847000000000000000,129901000000000000000,0,0,0,0,0,299748000000000000000,168000000000000000,14084000000000000000,5000000000000000000,0,10000000000000000000,0
75,height_boundary,345000000000000000000,329000000000000000000,10000000000000000000,6000000000000000000,1,40,169847000000000000000,129901000000000000000,0,0,0,0,0,299748000000000000000,168000000000000000,14084000000000000000,5000000000000000000,0,10000000000000000000,0
76,height_boundary,345000000000000000000,329000000000000000000,10000000000000000000,6000000000000000000,1,40,169847000000000000000,129901000000000000000,0,0,0,0,0,299748000000000000000,168000000000000000,14084000000000000000,5000000000000000000,0,10000000000000000000,0
77,withdrawal_reserved,345000000000000000000,329000000000000000000,10000000000000000000,6000000000000000000,1,40,159847000000000000000,129901000000000000000,0,0,0,0,0,289748000000000000000,168000000000000000,14084000000000000000,5000000000000000000,0,20000000000000000000,0
77,native_withdrawal_assumed,345000000000000000000,319000000000000000000,20000000000000000000,6000000000000000000,2,40,159847000000000000000,129901000000000000000,0,0,0,0,0,289748000000000000000,168000000000000000,14084000000000000000,5000000000000000000,0,10000000000000000000,0
77,height_boundary,345000000000000000000,319000000000000000000,20000000000000000000,6000000000000000000,2,40,159847000000000000000,129901000000000000000,0,0,0,0,0,289748000000000000000,168000000000000000,14084000000000000000,5000000000000000000,0,10000000000000000000,0
78,reward_reserved,345000000000000000000,319000000000000000000,20000000000000000000,6000000000000000000,2,40,159847000000000000000,129901000000000000000,0,0,0,0,0,289748000000000000000,148000000000000000,13104000000000000000,5000000000000000000,0,10000000000000000000,1000000000000000000
78,native_reward_claims_assumed,345000000000000000000,318000000000000000000,20000000000000000000,7000000000000000000,2,47,159847000000000000000,129901000000000000000,0,0,0,0,0,289748000000000000000,148000000000000000,13104000000000000000,5000000000000000000,0,10000000000000000000,0
78,height_boundary,345000000000000000000,318000000000000000000,20000000000000000000,7000000000000000000,2,47,159847000000000000000,129901000000000000000,0,0,0,0,0,289748000000000000000,148000000000000000,13104000000000000000,5000000000000000000,0,10000000000000000000,0
79,height_boundary,345000000000000000000,318000000000000000000,20000000000000000000,7000000000000000000,2,47,159847000000000000000,129901000000000000000,0,0,0,0,0,289748000000000000000,148000000000000000,13104000000000000000,5000000000000000000,0,10000000000000000000,0
80,height_boundary,345000000000000000000,318000000000000000000,20000000000000000000,7000000000000000000,2,47,159847000000000000000,129901000000000000000,0,0,0,0,0,289748000000000000000,148000000000000000,13104000000000000000,5000000000000000000,0,10000000000000000000,0
81,height_boundary,345000000000000000000,318000000000000000000,20000000000000000000,7000000000000000000,2,47,159847000000000000000,129901000000000000000,0,0,0,0,0,289748000000000000000,148000000000000000,13104000000000000000,5000000000000000000,0,10000000000000000000,0
82,height_boundary,345000000000000000000,318000000000000000000,20000000000000000000,7000000000000000000,2,47,159847000000000000000,129901000000000000000,0,0,0,0,0,289748000000000000000,148000000000000000,13104000000000000000,5000000000000000000,0,10000000000000000000,0
83,height_boundary,345000000000000000000,318000000000000000000,20000000000000000000,7000000000000000000,2,47,159847000000000000000,129901000000000000000,0,0,0,0,0,289748000000000000000,148000000000000000,13104000000000000000,5000000000000000000,0,10000000000000000000,0
84,height_boundary,345000000000000000000,318000000000000000000,20000000000000000000,7000000000000000000,2,47,159847000000000000000,129901000000000000000,0,0,0,0,0,289748000000000000000,148000000000000000,13104000000000000000,5000000000000000000,0,10000000000000000000,0
85,height_boundary,345000000000000000000,318000000000000000000,20000000000000000000,7000000000000000000,2,47,159847000000000000000,129901000000000000000,0,0,0,0,0,289748000000000000000,148000000000000000,13104000000000000000,5000000000000000000,0,10000000000000000000,0
